query_id,P@10,R@10,AP,F1@10,RR,NDCG@10
1,0.5,0.17857142857142858,0.23048974660259983,0.2631578947368421,1.0,0.4282136570146374
2,0.3,0.125,0.19616299435354465,0.17647058823529413,1.0,0.20953123058032286
3,0.7,0.875,0.6725053232675184,0.7777777777777777,0.5,0.7434060993872782
4,0.1,0.5,0.5476190476190477,0.16666666666666669,1.0,0.6131471927654584
5,0.2,0.5,0.1583853238265003,0.28571428571428575,0.16666666666666666,0.23767400396589125
6,0.2,0.5,0.2747212931995541,0.28571428571428575,0.3333333333333333,0.3255178894308572
7,0.2,0.4,0.17826350245499184,0.26666666666666666,0.3333333333333333,0.2812868336712595
8,0.2,0.18181818181818182,0.18472755156794873,0.1904761904761905,0.5,0.08248932958452396
9,0.0,0.0,0.022437971952535062,0.0,0.03333333333333333,0.0
10,0.2,0.25,0.2395492867798381,0.22222222222222224,1.0,0.3270423660559285
11,0.2,0.2857142857142857,0.16484647367000307,0.23529411764705882,0.3333333333333333,0.2225454856895454
12,0.2,0.4,0.10003352160536347,0.26666666666666666,0.1111111111111111,0.1494493938560375
13,0.0,0.0,0.003621624870462828,0.0,0.0029239766081871343,0.0
14,0.2,1.0,0.25,0.33333333333333337,0.25,0.36548515207145893
15,0.2,1.0,0.7,0.33333333333333337,1.0,0.9327783893101107
16,0.1,0.3333333333333333,0.21932870370370372,0.15384615384615383,0.5,0.3212043018970804
17,0.1,0.5,0.509090909090909,0.16666666666666669,1.0,0.46927872602275644
18,0.1,0.3333333333333333,0.10795851782801212,0.15384615384615383,0.25,0.20210734650054757
19,0.0,0.0,0.01600694294818042,0.0,0.013157894736842105,0.0
20,0.5,0.5555555555555556,0.5067896018047074,0.5263157894736842,0.5,0.5091406296930573
21,0.1,0.25,0.18044244249828004,0.14285714285714288,0.3333333333333333,0.17566862792673435
22,0.0,0.0,0.0010111223458038423,0.0,0.0010111223458038423,0.0
23,0.5,0.15625,0.2240843749237508,0.23809523809523808,0.5,0.32508066494998944
24,0.2,0.6666666666666666,0.4747474747474747,0.30769230769230765,1.0,0.5154858981951099
25,0.5,0.5555555555555556,0.5132130410043032,0.5263157894736842,1.0,0.6123575354383786
26,0.3,0.5,0.25426659359595166,0.37499999999999994,0.5,0.27204876374905235
27,0.1,0.3333333333333333,0.06460030082911439,0.15384615384615383,0.14285714285714285,0.1131326163504866
28,0.0,0.0,0.007092555331991952,0.0,0.007142857142857143,0.0
29,0.3,0.3333333333333333,0.3447380510085436,0.3157894736842105,1.0,0.420389719651605
30,0.1,0.14285714285714285,0.04880083060414302,0.11764705882352941,0.1,0.05334477692692088
31,0.0,0.0,0.0007407407407407407,0.0,0.0007407407407407407,0.0
32,0.0,0.0,0.022757140214156868,0.0,0.017543859649122806,0.0
33,0.2,0.6666666666666666,0.3768115942028985,0.30769230769230765,0.5,0.48905702103816984
34,0.4,0.6666666666666666,0.321506734006734,0.5,0.25,0.3834521197984193
35,0.0,0.0,0.02944478202210161,0.0,0.045454545454545456,0.0
36,0.1,0.5,0.16885007278020378,0.16666666666666669,0.3333333333333333,0.35195904451706733
37,0.2,0.2222222222222222,0.13841061905030805,0.2105263157894737,0.25,0.12285208384863038
38,0.1,0.1,0.04551443769096567,0.10000000000000002,0.2,0.09032301286107314
39,0.1,0.07692307692307693,0.19144182022139514,0.08695652173913043,1.0,0.07467264456021758
40,0.2,0.16666666666666666,0.07099674574582378,0.1818181818181818,0.25,0.16771144098554694
41,0.3,1.0,0.8333333333333334,0.4615384615384615,1.0,0.836194645141592
42,0.3,0.6,0.22312910255908336,0.4,0.2,0.3005042870002764
43,0.5,0.8333333333333334,0.6443602693602694,0.625,1.0,0.6040936828467544
44,0.0,0.0,0.0017677947989938614,0.0,0.0013831258644536654,0.0
45,0.2,0.16666666666666666,0.20527942671379104,0.1818181818181818,1.0,0.21570660996530525
46,0.5,0.3333333333333333,0.2772459280818804,0.4,0.5,0.45188308430454055
47,0.5,0.35714285714285715,0.31792234690684795,0.41666666666666663,0.5,0.3643375872391792
48,0.2,0.18181818181818182,0.13548711951064274,0.1904761904761905,0.5,0.19209799094836932
49,0.1,0.5,0.25492610837438423,0.16666666666666669,0.5,0.3212043018970804
50,0.1,0.16666666666666666,0.07647854542014,0.125,0.3333333333333333,0.08523299761029673
51,0.6,0.6,0.5538567467070019,0.6,1.0,0.5946887506621544
52,0.4,1.0,0.3988095238095238,0.5714285714285715,0.3333333333333333,0.5629497540678818
53,0.2,0.2,0.23388658997552353,0.20000000000000004,1.0,0.3154780632241021
54,0.1,0.1111111111111111,0.09232429139416952,0.10526315789473685,0.3333333333333333,0.07095528300015501
55,0.2,0.2,0.24496995728879783,0.20000000000000004,1.0,0.3565643382345911
56,0.2,0.2,0.10762197210227768,0.20000000000000004,0.14285714285714285,0.13171226829941377
57,0.1,0.07142857142857142,0.09873044758835517,0.08333333333333333,0.16666666666666666,0.0587987017340065
58,0.1,0.1111111111111111,0.16893543870076658,0.10526315789473685,0.3333333333333333,0.06488908360963974
59,0.2,0.5,0.20380279680365296,0.28571428571428575,0.3333333333333333,0.3540903152821078
60,0.3,0.6,0.5050133913625711,0.4,1.0,0.6412748846818369
61,0.3,0.6,0.5730360934182591,0.4,1.0,0.5509922061310656
62,0.0,0.0,0.03921242768764504,0.0,0.05263157894736842,0.0
63,0.0,0.0,0.03737653253391752,0.0,0.047619047619047616,0.0
64,0.2,1.0,0.3611111111111111,0.33333333333333337,0.5,0.46865171646093934
65,0.5,0.3333333333333333,0.36941314704226824,0.4,1.0,0.448764936408799
66,0.2,0.4,0.15357991681521094,0.26666666666666666,0.16666666666666666,0.16373931929996519
67,0.8,0.5714285714285714,0.6355041826150073,0.6666666666666666,1.0,0.634194067293908
68,0.1,0.2,0.08801911044983038,0.13333333333333333,0.3333333333333333,0.11822392831743979
69,0.1,0.2,0.05974688145865718,0.13333333333333333,0.14285714285714285,0.07384557951207087
70,0.0,0.0,0.05328820279096863,0.0,0.08333333333333333,0.0
71,0.0,0.0,0.041537979719832425,0.0,0.038461538461538464,0.0
72,0.2,0.11764705882352941,0.08962370152695291,0.14814814814814817,0.2,0.11884374492221346
73,0.5,0.25,0.31904383363712674,0.3333333333333333,1.0,0.4082049813996942
74,0.1,0.16666666666666666,0.12744925142884328,0.125,0.16666666666666666,0.06303509574959079
75,0.0,0.0,0.059086360793677864,0.0,0.08333333333333333,0.0
76,0.2,0.2857142857142857,0.20345699235881404,0.23529411764705882,0.5,0.26936804569804423
77,0.4,0.6666666666666666,0.5447751322751323,0.5,1.0,0.6149714756819412
78,0.2,0.6666666666666666,0.4909090909090909,0.30769230769230765,1.0,0.6562587440102771
79,0.1,0.2,0.05142036577520448,0.13333333333333333,0.1111111111111111,0.0822763045826162
80,0.0,0.0,0.0449194730671243,0.0,0.058823529411764705,0.0
81,0.2,1.0,0.26785714285714285,0.33333333333333337,0.25,0.4439798647434136
82,0.2,0.4,0.3867082590612002,0.26666666666666666,1.0,0.49826553820150077
83,0.1,0.25,0.259427509657931,0.14285714285714288,1.0,0.3903800499921017
84,0.3,0.2727272727272727,0.27446216887485037,0.28571428571428564,1.0,0.39788283855732665
85,0.0,0.0,0.01872504822608401,0.0,0.023255813953488372,0.0
86,0.2,1.0,0.75,0.33333333333333337,1.0,0.8772153153380493
87,0.0,0.0,0.015781141080299356,0.0,0.014705882352941176,0.0
88,0.6,1.0,0.7579365079365079,0.7499999999999999,1.0,0.7531241687548037
89,0.2,0.3333333333333333,0.15112673064735646,0.25,0.16666666666666666,0.17934102736927177
90,0.2,0.15384615384615385,0.20703528969305693,0.17391304347826086,0.5,0.25159337255859643
91,0.4,0.4444444444444444,0.3028684069934672,0.4210526315789474,0.5,0.33171035513488006
92,0.6,0.46153846153846156,0.6218607375229953,0.5217391304347826,1.0,0.7147825224395781
93,0.1,1.0,0.5,0.18181818181818182,0.5,0.6309297535714574
94,0.5,0.4166666666666667,0.4696785369923951,0.45454545454545453,1.0,0.5306084754001685
95,0.1,0.5,0.5138888888888888,0.16666666666666669,1.0,0.8637574337885663
96,0.4,0.3076923076923077,0.280192946087229,0.34782608695652173,1.0,0.4665635511362402
97,0.2,0.2,0.11811226760984836,0.20000000000000004,0.3333333333333333,0.20052259060481978
98,0.0,0.0,0.016389995341728768,0.0,0.01639344262295082,0.0
99,0.2,0.5,0.2941593352883676,0.28571428571428575,0.5,0.30138025052382494
100,0.2,0.2222222222222222,0.2156305923002714,0.2105263157894737,0.5,0.1974138987169889
101,0.5,0.8333333333333334,0.7402777777777777,0.625,1.0,0.8279789690571232
102,0.2,0.5,0.5189276331502269,0.28571428571428575,1.0,0.495793910071458
